IL Tech | Marian WI
Carthage | Carroll WI
Gwynedd-Mercy | Neumann
Central IA | Buena Vista
Aurora | Dominican IL
Thomas Aquinas | NYIT
Westminster PA | Bethany WV
Wilmington OH | Otterbein
Albion | Alma
Concordia Mhd | Hamline
Drew | Susquehanna
Ferrum | Randolph Col
Fitchburg St | Salem MA
St Johns MN | Gust Adolphus
Benedictine IL | Rockford
Bethany Luth | Crown MN
Immaculata | Marymount VA
Wartburg | Luther IA
Augsburg | Bethel MN
Moravian | Scranton
Baruch | Brooklyn Col
Davis & Elkins | Salem WV
Fisk | Kentucky St
Calumet-St Jos | Card Stritch
Governors St | Trinity IL
Dalhousie | St Fran Xavier
Brock | Laurier
Laval | UQAM
St Francis IN | Grace IN
R Morris Chi | St Ambrose
Madison Col | Harper
St Francis IL | IN S Bend
Itasca CC | Gogebic CC
Southwestern CA | Palomar Col
Johnson Co | MCC Maple Woods
Peninsula | Bellevue CC
Big Bend CC | Columbia Basin
Treasure Val CC | Blue Mountain CC
Centralia Col | Grays Harbor
Chemekata CC | Mt Hood CC
Clark CC | Portland CC
Edmonds CC | Shoreline CC
Everett CC | Skagit Val CC
Green River CC | Lower Columbia
S Puget Sound CC | Highline CC
Lane CC | SW Oregon CC
Umpqua CC | Linn-Benton CC
Whatcom CC | Olympic
Pierce CC | Tacoma CC
Spokane CC | Yakima Val CC
Walla Walla CC | Wenatchee Val CC
Berkeley NYC | Washington Advt
Paul Quinn | SW Adventist
MI Dearborn | Cornerstone
Arlington Bap | Ecclesia
PSU-Mont Alto | PSU-DuBois
PSU-Gtr Allegheny | PSU-Fayette
PSU-Brandywine | PSU-Lehigh Val
PSU-Beaver | PSU-New Kens
PSU Wilkes-Barre | PSU-Schuylkill
PSU-Hazleton | PSU-Scranton
St Katherine | Bethesda
San Bernardino Val | Moorpark
St Josephs ME | Albertus Magnus
Arkansas Tech | Southern Nazarene
Ark Little Rock | Troy
Ark Monticello | SE Oklahoma
WI Parkside | Ashland
Union TN | Auburn Mgomery
Austin Peay | SE Missouri St
S Vermont | Becker
Univ Ozarks | Belhaven MS
Bellarmine | Quincy
Belmont | Morehead St
Milligan | Bluefield VA
Bryant | Mt St Marys
Cairn | Summit
Humboldt St | Cal St-LA
Cameron | W New Mexico
Central Conn | F Dickinson
Hampton | Charleston So
Florida Intl | Charlotte
Chr Brothers | West Alabama
MO Southern | C Missouri
C Oklahoma | NE Kearney
Colby | Pine Manor
Drexel | Col Charleston
Shepherd | Concord
Concordia TX | McMurry
CS Chico | CS Dom. Hills
CS San Bern. | CS Monterey Bay
U New England | Curry
C Washington | Simon Fraser
St Edwards | Dallas Bap
Davenport | Northwood MI
Delaware | UNC Wilmington
Detroit | WI Green Bay
Indianapolis | Drury
E Connecticut | S Maine
Jacksonville St | E Illinois
Elms | Norwich
Northeastern | Elon
UT Dallas | E Texas Bap
E Washington | Montana
Fairfield | St Peters
Fairmont St | UVA-Wise
Purchase | Farmingdale
Stillman | Faulkner
Fayetteville St | Lincoln PA
Michigan Tech | Ferris St
Findlay | OH Dominican
Notre Dame OH | Glenville St
New Mexico St | Grand Canyon
Grand Valley St | Saginaw Val
OK Baptist | Harding
M Hardin-Baylor | Hardin-Simmons
Haverford | McDaniel Col
Henderson St | NW Oklahoma St
Hillsdale | Ohio Valley
Hofstra | William & Mary
Montana St | Idaho
IL Chicago | Youngstown St
Michigan | Illinois
MO St Louis | IL Springfield
Keiser | Webber
Lake Superior | N Michigan
Lewis | Missouri S&T
Pikeville | Life
Texas A&M Intl | Lubbock Chr
MA Boston | Plymouth St
Maryville MO | McKendree
Midwest TX St | Permian Basin
Quinnipiac | Monmouth NJ
W Oregon | MT St-Billings
MT Tech | Providence GF
Nichols | Wentworth Tech
NW Nazarene | W Washington
Wayland | OK City
Ouachita | SW Oklahoma
Salve Regina | W New England
Sarah Lawrence | St Josephs NY
Virginia Union | Shaw NC
S Indiana | Truman St
Tennessee Tech | SIUE
TX A&M Commerce | Tarleton St
TX A&M Kville | W Texas A&M
WV Wesleyan | Urbana
Virginia St | W Salem St
West Liberty | WV State
Seattle Pacific | AK Fairbanks
UT Arlington | Appalachian St
IUPUI | Cleveland St
CS Poly Pomona | CSU East Bay
S Dakota St | Denver
Swarthmore | Dickinson
Murray St | TN Martin
North Texas | UTEP
Radford | SC Upstate
UC Irvine | UC Davis
PFW | Oral Roberts
Gonzaga | Pacific
Louisiana Tech | UAB
Southern Miss | MTSU
WI Milwaukee | Oakland
Santa Clara | Pepperdine
UT San Antonio | Rice
Wagner | Sacred Heart
Wofford | UNC Greensboro
St Martins | AK Anchorage
Arkansas St | South Alabama
Connecticut | SMU
Memphis | East Carolina
FL Atlantic | Old Dominion
Furman | VMI
Georgia St | Louisiana
High Point | Presbyterian
Lasell | Rivier
Mercer | W Carolina
Nebraska | Penn St
Wm Jessup | Vanguard
ETSU | Citadel
Tennessee St | E Kentucky
Holy Names | Azusa Pacific
Lake Erie | Cedarville
CS Bakersfield | UTRGV
Dean | Newbury
Muhlenberg | Frank & Marsh
Johns Hopkins | Ursinus
Longwood | UNC Asheville
N England Col | Mitchell
Old Westbury | Mt St Mary NY
Angelo St | E New Mexico
Winthrop | Campbell
Centenary NJ | Rosemont
Chaminade | Notre Dame CA
JC Smith | Chowan
Cincinnati | Tulsa
Colorado | Washington St
Delta St | West Florida
Fort Hays St | NE Oklahoma
Ga Southern | ULM
West Georgia | Lee TN
St Josephs LI | Merchant Marine
Valdosta St | Mississippi Col
NE Omaha | North Dakota
Rogers St | Newman
UCLA | Oregon
Oregon St | USC
Keene St | Castleton
CS Stanislaus | CS San Marcos
Gordon | Endicott
Louisiana Col | UT Tyler
BYU | Portland
Missouri KC | Cal Baptist
Texas St | Coastal Car
N Dakota St | W Illinois
Washington | Utah
Graceland | Baker KS
Campbellsville | Cumberland TN
Shawnee St | Cumberlands KY
Warner | J&W FL
ASA | Lackawanna
Miles CC | Bismarck St
NW Mississippi | Coahoma CC
Southern Idaho | Snow Col
Salt Lake CC | Colorado NW
Connors St | Redlands CC
MS Gulf Coast | Copiah-Lincoln
Dawson CC | United Tribes
Pearl River CC | East Central CC
Eastern OK St | W Oklahoma St
Holmes CC | E Mississippi CC
Highland CC IL | Black Hawk-M
NE MS CC | Itawamba CC
Jacksonville Col | Tyler JC
Danville CC IL | Kankakee CC
Lake Region | Dakota-Bottineau
Laramie Co | Northwest WY
SW Mississippi | Meridian CC
Odessa | Midland TX
SW MO St-WP | N OK-Tonkawa
Monroe-NR | Roxbury CC
Western Texas | New Mexico JC
South Plains | NM Military
Williston St | ND St Science
Seminole St | N OK-Enid
Sauk Valley CC | Illinois Val
Lake Co | Oakton CC
Erie CC | Jefferson CC
Essex CC | Rockland CC
Morton | McHenry Co
Waubonsee CC | Moraine Val
Elgin CC | Prairie St
Westchester CC | Passaic Co
Bristol CC | Hostos CC
Bronx CC | Kingsborough
Hudson Val | Clinton CC (NY)
Finger Lakes CC | Broome CC
Stevens Tech PA | Harrisburg Area CC
Luzerne Co CC | Lehigh Carbon
Gloucester Co | Montgomery Co CC
Union Co | Sussex Co CC
Jones Co CC | Hinds CC
Ave Maria | FL Memorial
Benedictine KS | Peru St
Wm Carey | Blue Mtn
TX Wesleyan | Central Chr
Crowleys Ridge | Rust
Hannibal-Lagr | Wm Woods
Lyon | Harris-Stowe
Rocky Mtn | MT Western
AL Huntsville | Shorter
S Arkansas | East Central OK
E Nazarene | Lesley
Wilson | Keystone
Embry-Riddle AZ | Antelope Val
Bethany KS | York NE
Bethel KS | St Mary KS
Loyola NO | Bethel TN
Cal Maritime | UC Merced
Cent Methodist | Mid Am Nazarene
MO Baptist | Columbia MO
Dalton St | Florida Col
Evangel | Missouri Val
Park | Freed-Hardeman
Friends | Sterling
Georgetown KY | Lindsey Wilson
SW Assemb God | Langston
OK Wesleyan | McPherson
Mobile | Mid Georgia
William Penn | Mt Mercy
Simpson CA | Pacific Union
Southwestern KS | Tabor
Howard Col | Clarendon
Eastfield Col | LSU-Eunice
Bor Manhattan | Orange Co
Charleston WV | Wheeling Jesuit
J&W RI | Colby-Sawyer
Livingstone | Eliz. City St
Spalding | MacMurray
Washington MD | Gettysburg
Biola | Dominican CA
Purdue Northwest | Wayne St MI
Mt St Vincent | NY Maritime
Bowie St | St Augustines
MA Dartmouth | W Connecticut
Erskine | Bob Jones
Lincoln Chr | Maranatha Bap
Oakland City | Welch
St Andrews | Allen
Asbury | Alice Lloyd
Oklahoma S&A | John Brown
Arizona Chr | Life Pacific
Hope Intl | Ottawa AZ
Southeastern FL | St Thomas FL
SW Christian | Panhandle St
Guelph | Waterloo
Concordia QC | Bishops
Univ Lethbridge | Mt Royal
Mid-Am Chr | Bacone
Benedictine AZ | La Sierra
Martin Meth | Brewton-Parker
Truett-McConnell | Bryan
Central Bap | Lindenwood-Belle
Clarke | Culver-Stockton
Columbia Intl | Montreat
WV Tech | Rio Grande
SAU Tech | Ark Baptist
Ottawa KS | Avila
Union KY | TN Wesleyan
Menlo | San Diego Chr
Sheridan WY | Northeastern JC
Carroll MT | Lewis-Clark ID
Mt Olive | Lees-McRae
Emmanuel MA | St Joseph CT
St Francis PA | LIU Brooklyn
Robert Morris | St Francis NY
Silver Lake | AFLBC
J&W NC | Carolina Chr
Johnson FL | University of the Bahamas
Bluefield WV | Kent-Tusc
S Maine Tech | ME Augusta
C Chr Bible | Ozark Chr
Grace Chr | Pensacola Chr
Piedmont Bap | Trinity Bap
Kishwaukee CC | Carl Sandburg
Alfred | Utica
Amherst | CT College
Augustana SD | Upper Iowa
SW Univ TX | Austin Col
Hobart & Smith | Bard
Middlebury | Bates
Bellevue | Mayville St
Berry | Sewanee
Birmingham So | Rhodes
Colorado Chr | Black Hills St
Carnegie Mellon | Brandeis
Pfeiffer | Brevard
Brockport St | SUNY New Paltz
SUNY Potsdam | Buffalo St
Case Western | NYU
Chicago | Rochester NY
Col of Idaho | Warner Pacific
Col Springs | Ft Lewis
Concordia SP | SW Minnesota
Oregon Tech | Corban
Dixie St | Metro St
Emory | Washington StL
SUNY Oneonta | Geneseo St
Whitworth | George Fox
Hartwick | Houghton
Hendrix | Millsaps
Hunter | John Jay
Husson | ME Maritime
Maryland | Indiana
Niagara | Iona
Pac Lutheran | Lewis & Clark
Mary ND | MN Duluth
NM Highlands | Mesa St
St Cloud | Minot St
Northern St SD | MN Crookston
Sioux Falls | MN Mankato
N Kentucky | Wright St
Northwest Chr | Southern Oregon
Piedmont | Peace
Plattsburgh St | SUNY Fredonia
Puget Sound | Willamette
Regis CO | S Dakota Tech
Rensselaer | Vassar
St John Fisher | Russell Sage
Wayne St NE | Winona St
Rider | Canisius
Molloy | Daemen
Siena | Marist
Thomas ME | Johnson St
ME Farmington | Lyndon St
Purdue | Wisconsin
Moorhead St | Bemidji St
Covenant | Methodist
Whitman | Linfield
Wesleyan CT | Hamilton
Nazareth | Stevens Tech
Trinity CT | Bowdoin
Medgar Evers | York NY
Lincoln Col | Col Ozarks
Baltimore City CC | Anne Arundel
Columbia St | SW Tennessee
Dyersburg St | Jackson St CC
Monroe-NR | Genesee CC
North Platte CC | Cent CC-Columbus
W Nebraska CC | Otero JC
Walters St | Volunteer St
Chesapeake | Howard CC MD
Grand Rapids CC | Lansing CC
St Clair Co | Mott CC
Pasco-Hernando | Oxford of Emory
Presentation | Viterbo
Williams | Tufts
Los Medanos | Alameda
San Joaquin Delta | American River
Cabrillo | Hartnell
City Col San Fran | Canada Col
Ventura Col | Col of the Canyons
Cerritos Col | Rio Hondo
Foothill Col | Chabot
Chaffey | El Camino Col
West LA Col | Citrus Col
Pasadena City Col | El Camino-Compton
Contra Costa | Napa Valley CC
Saddleback | Copper Mtn
Cosumnes River | Modesto JC
Col of the Desert | Cuyamaca
Cypress | Riverside CC
West Valley Col | De Anza Col
Folsom Lake | Sacramento City
Fullerton Col | Irvine Valley
Mt San Antonio | LA Southwest
Las Positas | Ohlone
Long Beach City Col | LA Trade-Tech
LA Valley Col | Oxnard
Col Marin | Solano CC
Southwestern CA | MiraCosta
Monterey Peninsula | San Jose City Col
Santa Ana Col | Orange Coast
Santa Rosa JC | Sierra Col
Dakota St | Valley City St
Multnomah Bib | Eastern Oregon
LSU-Alexandria | Huston-Tillot
St Thomas TX | LSU Shreveport
Wiley | Paul Quinn
Westminster UT | Chadron St
Centre | Oglethorpe
Union NY | Clarkson
Colorado Col | Trinity TX
Colorado Mines | Adams St
Queens NY | Roberts Wslyn
St Lawrence | Ithaca
Brooklyn Col | City Col NY
Skidmore | Rochester Tech
CSU-Pueblo | Western St CO
SUNY Canton | ME Presque Isle
St Marys NS | UPEI
New Brunswick | Cape Breton
Ryerson | Queens ON
Ottawa ON | Nipissing
McMaster | Guelph
Western ON | Algoma
Lakehead | Windsor
Toronto | York ON
Carleton ON | Laurentian
Winnipeg | Thompson Riv
Alberta | Brandon
Regina | UBC-Okanagan
Calgary | Grant MacEwan
Fraser Val | Victoria
Brit Columbia | Trinity Western
Manitoba | Northern BC
Dickinson St ND | Waldorf
Jarvis Chr | Texas Col
Hostos CC | Mass Bay CC
East LA Col | LA Harbor
Durham | Fleming
Seneca | Algonquin
George Brown | Centennial Col
Niagara ON | Redeemer
Vancouver Island | Capilano
Langara | Douglas
N Alberta Tech | Kings AB
Ambrose | Briercrest
St Marys AB | Lethbridge Col
S Alberta Tech | Red Deer
Medicine Hat | Olds
Concordia AB | Lakeland AB
Augustana AB | Grande Prairie
Fort Scott CC | MCC Maple Woods
Grossmont | Palomar Col
Okanagan Col | Columbia Bib
SUNY-Delhi | ME Ft Kent
Indiana NW | Haskell
Dalhousie | St Fran Xavier
Laval | UQAM
UC Santa Cruz | Cal Miramar
Bry & Strat-Buffalo | Bry & Strat-Albany
Canadian Menn | Trinity Bib
Montmorency | St Lambert
Crown TN | Georgia NW Tech
Dawson | Outaouais
Brebeuf | John Abbott
ME Machias | Paul Smiths
Oakland City | Southeastern Bap
Villa Maria | St Joseph VT
St Lawrence ON | Georgian
Vanier | Sainte-Foy
Motlow St | Roane St
Three Rivers | State Fair CC
Cin Clermont | Christendom
Yuba | Mendocino
Hagerstown CC | Frederick CC
Clinton College | Mid-Atlantic Chr
Sisseton Wahpeton | Providence MB
Academy of Art | Fresno Pacific
Adelphi | St Anselm
Hope | Adrian
N Illinois | Akron
Texas A&M | Alabama
Ark Pine Bluff | Alabama St
Albertus Magnus | Rivier
Albion | Kalamazoo
Ald-Broaddus | KY Wesleyan
Alfred | Hartwick
American Intl | St Michaels
Bucknell | American Univ
Colby-Sawyer | Anna Maria
Texas St | Appalachian St
Newman | Arkansas-FS
OK Baptist | Arkansas Tech
Ark Little Rock | South Alabama
East Central OK | Ark Monticello
Augusta | Columbus St
Winona St | Augustana SD
Aurora | Concordia WI
TX Lutheran | Austin Col
Huntingdon | Averett
Azusa Pacific | Notre Dame CA
Babson | Clark MA
Ohio | Ball St
Bard | Rensselaer
Bellarmine | Truman St
Belmont | E Kentucky
Maryville TN | Berea
Spalding | Blackburn
Regis CO | Black Hills St
West Chester | Bloomsburg
Bluffton | Rose-Hulman
Notre Dame | Boston College
Bowie St | Shaw NC
Bowling Green | C Michigan
Missouri St | Bradley
Brockport St | SUNY Oneonta
Cairn | Bryn Athyn
Plattsburgh St | Buffalo St
Goldey Beacom | Caldwell
California PA | Lock Haven
CS Northridge | Cal Poly
Cal St-LA | CS Chico
Whittier | Caltech
Trine | Calvin
Permian Basin | Cameron
Capital | John Carroll
Queens NC | Carson-Newman
Scranton | Catholic
PSU-Abington | Cazenovia
Cent Arkansas | Lamar
Centenary | E Texas Bap
Central Conn | Mt St Marys
Chadron St | Dixie St
Charlotte | FL Atlantic
Chr Brothers | Montevallo
Chris Newport | Frostburg St
Claremont M.S. | La Verne
Mercyhurst | Clarion
Francis Marion | Clayton St
IL Chicago | Cleveland St
Pittsburg St | C Missouri
Loras | Coe
Tusculum | Coker
Fort Hays St | C Oklahoma
Col Charleston | Delaware
Colgate | Lehigh
S Dakota Tech | Colorado Chr
Colorado Mines | Ft Lewis
Fairmont St | Concord
Concordia NY | Wilmington DE
Sioux Falls | Concordia SP
Concordia TX | Hardin-Simmons
Corban | Southern Oregon
Oswego St | Cortland St
Covenant | Peace
St Scholastica | Crown MN
Humboldt St | CS Dom. Hills
Idaho St | CS Sacramento
CSU East Bay | CS San Bern.
Mesa St | CSU-Pueblo
W New England | Curry
W Washington | C Washington
Davenport | Saginaw Val
Davidson | VA Commonwealth
Davis & Elkins | Trevecca Naz
Mt St Joseph | Defiance
DeSales | Delaware Val
DePauw | Ohio Wesleyan
Detroit | WI Milwaukee
Drew | Goucher
UNC Wilmington | Drexel
Drury | Lewis
Wilkes | Eastern Univ
Eckerd | Rollins
E Connecticut | Keene St
Wheaton IL | Elmhurst
Elms | Newbury
Hofstra | Elon
Palm Beach Atl | Embry-Riddle FL
Roanoke | E Mennonite
E Michigan | Kent
Emmanuel GA | Lees-McRae
Emmanuel MA | Pine Manor
Emporia St | MO Western
TX A&M Kville | E New Mexico
Indiana St | Evansville
Farmingdale | St Josephs LI
Virginia Union | Fayetteville St
Wagner | F Dickinson
Felician | Univ Sciences
Ferris St | N Michigan
Findlay | Ohio Valley
Lander | Flagler
North Florida | FL Gulf Coast
PSU-Behrend | Franciscan OH
SUNYIT | Gallaudet
Gannon | Seton Hill
Louisiana | Ga Southern
SUNY New Paltz | Geneseo St
St Vincent | Geneva
Whitman | George Fox
Georgia C&S | NC Pembroke
Young Harris | Georgia SW
Urbana | Glenville St
Gonzaga | San Francisco
Grand Canyon | UTRGV
Grand Valley St | Northwood MI
Grinnell | Lawrence
Guilford | Randolph Col
Richmond | G Washington
Wash & Lee | Hampden-Sydney
Hampton | UNC Asheville
Southern Nazarene | Harding
Vermont | Hartford
Johns Hopkins | Haverford
Hawaii Hilo | Hawaii Pacific
Muskingum | Heidelberg
Henderson St | SW Oklahoma
PSU-Altoona | Hilbert
Hillsdale | OH Dominican
Oberlin | Hiram
Hobart & Smith | Skidmore
Hood | Lycoming
Utica | Houghton
Ripon | Illinois Col
Loyola-Chicago | Illinois St
IL Springfield | Maryville MO
IL Wesleyan | Millikin
Kansas St | Iowa St
Jacksonville St | SIUE
James Madison | Towson
Moravian | Juniata
Suffolk | J&W RI
Warner | Keiser
Wabash | Kenyon
Keuka | PSU-Berks
Keystone | Rosemont
King TN | Mt Olive
Shippensburg | Kutztown
Lake Erie | Tiffin
Milwaukee Eng | Lakeland
Lake Superior | Michigan Tech
SUNY-Cobleskill | Lancaster Bib
Lenoir Rhyne | Mars Hill
UT Dallas | Le Tourneau
Puget Sound | Lewis & Clark
Louisville | North Carolina
Lynchburg | VA Wesleyan
Worcester St | MA Liberal Arts
MA Lowell | UMBC
Transylvania | Manchester
Monmouth NJ | Manhattan
Misericordia | Manhattanville
Millersville | Mansfield
Marietta | Ohio Northern
St Cloud | Mary ND
Mary Washington | PSU-Harrisburg
Swarthmore | McDaniel Col
McKendree | MO St Louis
McMurry | M Hardin-Baylor
Miami FL | Wake Forest
MN Duluth | Minot St
Moorhead St | MN Crookston
MN Mankato | SW Minnesota
Montana | N Colorado
Morrisville St | St Elizabeth
MO Southern | SW Baptist
MT St Northern | MT Tech
Purchase | Mt St Vincent
Mt Union | Otterbein
Murray St | SE Missouri St
Nazareth | Russell Sage
WI Superior | N Central MN
NC State | Pittsburgh
NE Wesleyan | Wartburg
Stony Brook | New Hampshire
Nichols | U New England
North Alabama | NJIT
NM Highlands | Western St CO
Northeastern | William & Mary
Southern Utah | Northern Arizona
SC Aiken | North Georgia
Northwest Chr | Oregon Tech
Notre Dame OH | WV Wesleyan
NW Missouri | Washburn
NW Nazarene | Simon Fraser
Ouachita | NW Oklahoma St
Panhandle St | OK City
St Edwards | Oklahoma Chr
Old Westbury | St Josephs NY
S Dakota St | Oral Roberts
Pacific OR | Pac Lutheran
Princeton | Penn
Piedmont | Pfeiffer
Weber St | Portland St
S Indiana | Quincy
Rockhurst | Wm Jewell
Salisbury | S Virginia
S New Hampshire | S Connecticut
Shepherd | UVA-Wise
York PA | St Marys MD
SUNY Potsdam | SUNY Fredonia
Texas Tech | Texas
Toledo | W Michigan
West Alabama | Union TN
Wayne St NE | Upper Iowa
WV State | Wheeling Jesuit
WI LaCrosse | WI Whitewater
WI Oshkosh | WI River Falls
WI Platteville | WI Stout
Wooster | Wittenberg
Air Force | San Diego St
Allegheny | Denison
Austin Peay | TN Martin
Boise St | San Jose St
Boston Univ | Navy
Buffalo | Miami OH
Norfolk St | Coppin St
UC Irvine | CS Fullerton
CS Poly Pomona | CS Monterey Bay
Dartmouth | Harvard
Dickinson | Washington MD
Dominican NY | Georgian Court
Ursinus | Frank & Marsh
Gardner Webb | SC Upstate
Youngstown St | IUPUI
S Vermont | N England Col
UT San Antonio | North Texas
Oklahoma St | West Virginia
Utah St | Wyoming
ME Farmington | Johnson St
Macalester | St Marys MN
Auburn | Georgia
Kansas | Baylor
Sacred Heart | Bryant
DePaul | St Johns
E Illinois | Tennessee Tech
Nevada | Fresno St
UNC Greensboro | Furman
Georgetown | Providence
Long Beach St | UC Davis
Louisiana Tech | MTSU
St Marys CA | Loy Marymount
Marquette | Seton Hall
Marshall | WKU
New Orleans | McNeese St
NC Central | MD E Shore
Minnesota | Rutgers
Mississippi | Mississippi St
Oakland | WI Green Bay
Pacific | Portland
Pepperdine | San Diego
UTEP | Rice
Southern Miss | UAB
UC Santa Barbara | UC Riverside
Seattle Pacific | AK Anchorage
Maine | Albany NY
Troy | Arkansas St
Emory & Henry | Bridgewater VA
Pomona Pitzer | Chapman
Chattanooga | Samford
W Carolina | Citadel
UC San Diego | CS Stanislaus
NC A&T | Delaware St
Duquesne | St Josephs PA
Pitt-Johnstown | Edinboro
Erskine | Limestone
Kings PA | FDU Madison
Old Dominion | Florida Intl
Grambling | Southern Univ
Holy Cross | Lafayette
Houston | Wichita St
Sam Houston St | Incarnate Word
Kentucky | Vanderbilt
St Louis | La Salle
Thomas Aquinas | LIU Post
Tufts | Middlebury
Regis MA | Norwich
Oklahoma | TCU
Radford | Presbyterian
Temple | South Florida
Wofford | VMI
Cornerstone | Indiana Tech
LSU | Arkansas
Barton | North Greenville
Northern St SD | Bemidji St
Worcester Tech | Coast Guard
Colorado St | New Mexico
ETSU | Mercer
Tuskegee | Kentucky St
Lipscomb | Stetson
Morehead St | Tennessee St
Valparaiso | S Illinois
SMU | Tulsa
Hanover | Anderson IN
Lourdes | Aquinas
Ashland | Purdue Northwest
Dean | Becker
Belhaven MS | UT Tyler
Holy Names | Biola
Occidental | Cal Lutheran
Charleston So | Longwood
Kean | College of NJ
Columbia | Elmira
New Mexico St | CS Bakersfield
Earlham | Franklin IN
Tennessee | Florida
Gordon | Roger Williams
Lincoln MO | Lindenwood
Whitworth | Linfield
MA Boston | RI College
Northland | MN Morris
Nova SE | Tampa
Prairie View | TX Southern
Ramapo | Wm Paterson
Thiel | Waynesburg
AL Huntsville | Lee TN
Alvernia | Lebanon Val
Wesleyan CT | Amherst
W Texas A&M | Angelo St
Arizona | California
Stanford | Arizona St
Miles | Central St OH
W Salem St | Chowan
Cincinnati | Connecticut
Washington | Colorado
Hamilton | CT College
Dallas Bap | Rogers St
Delta St | Valdosta St
Mt Aloysius | DYouville
Georgia St | ULM
Gettysburg | Muhlenberg
Winthrop | High Point
La Roche | Pitt-Bradford
West Florida | Mississippi Col
NE Oklahoma | NE Kearney
NJ City | Rutgers-Camden
Northwestern LA | SF Austin
Penn Col Tech | Wells
Rowan | Rutgers-Newark
St John Fisher | Stevens Tech
Utah | Washington St
WI Stevens Pt | WI Eau Claire
Abilene Chr | SE Louisiana
MS Valley St | Alabama A&M
New Haven | Assumption
Baruch | Lehman
Belmont Abbey | S Wesleyan
MA Dartmouth | Castleton
Warner Pacific | Eastern Oregon
Endicott | Salve Regina
Lynn | Florida Tech
Nicholls St | Houston Bap
Sul Ross | Howard Payne
Slippery Rock | Indiana PA
LeMoyne-Owen | Lane
Louisiana Col | Univ Ozarks
Malone | Walsh
Westminster UT | Metro St
Utah Valley | Seattle
BYU | Santa Clara
Cal Baptist | Chicago St
Virginia | Clemson
Duke | Florida St
Liberty | Jacksonville
UT Arlington | Coastal Car
Loyola MD | Army
Iowa | Ohio St
North Dakota | W Illinois
Bethune-Cookman | Howard
S Carolina St | Morgan St
St Bonaventure | Fordham
Georgia Tech | Syracuse
Jackson St | Alcorn St
Spring Arbor | Bethel IN
Governors St | Calumet-St Jos
Peru St | Clarke
Indiana NW | Col Ozarks
Pikeville | Cumberlands KY
MO Baptist | Hannibal-Lagr
J&W FL | Webber
Mt Vernon Naz | Taylor IN
Xavier LA | Rust
Andrew Col | Albany Tech
Trinity Valley CC | Angelina
AZ Western | Glendale AZ
ASA | Genesee CC
Miami-Dade | ASA Miami
Bevill-Fay | Lawson St
Blinn | Kilgore
Jacksonville Col | Bossier Parish
USC Salkehatchie | Brunswick CC
Butler Co-KS | Garden City CC
Spartanburg Meth | Caldwell CC Tech
Cape Fear CC | Lenoir CC
Casper College | Laramie Co
C Arizona | Phoenix Col
Gordon GA | Cent Georgia Tech
Cent Wyoming | Gillette
Chattahoochee Val | Jefferson Davis
NW Florida St | Chipola
Pratt CC | Cloud Co
Coastal AL-BM | Enterprise St
Panola | Coastal Bend
Cochise | South Mtn
Coffeyville CC | Dodge City CC
Colby CC | Independence CC
Col Cent Florida | Daytona St
Eastern Utah | Southern Idaho
Collin Co | McLennan CC
Columbia St | Dyersburg St
Hutchinson CC | Cowley Co
Davidson Co CC | Denmark Tech
Eastern Arizona | Tohono Oodham
E Florida St | Florida St-Jax
East Georgia Col | So Crescent Tech
Snead St | Gadsden St CC
Georgia Highlands | S Georgia St
Pensacola St | Gulf Coast CC
Harcum Col | Essex CC
Highland CC IL | Daley
State Col Fla | Hillsborough CC
Indian Hills CC | Northeast CC
Indian River | Palm Beach St
Southeastern CC | Iowa Western CC
Kennedy-King | Malcolm X
Lee TX | Paris JC
Marion Mil | S Union St
Scottsdale CC | Mesa CC
Walters St | Motlow St
Olney | Wabash Val
Polk CC | St Petersburg
Volunteer St | Roane St
Shelton St | Wallace St
Sheridan WY | W Wyoming CC
Temple Col | Weatherford
Triton Col | Milwaukee Tech
Oakland CC | Alpena CC
Ancilla | Kalamazoo Val
Black Hawk-M | McHenry Co
Catawba Val | Fayetteville Tech
Montgomery-R | CCBC Catonsville
Burlington Co | CCBC-Dundalk
Pima CC | Chand-Gilbert
Lakeland CC | Clark St
Delta Col | Wayne Co
Iowa Lakes CC | Des Moines CC
Edison CC | Lorain Co CC
Iowa Cent | Ellsworth CC
Jackson CC | Glen Oaks CC
Pitt CC | Guilford Tech CC
Henry Ford CC | Macomb CC
Muskegon CC | Kellogg CC
Kirkwood CC | Southwestern CC
Mid-Michigan CC | Lake Michigan
Wake Tech | Louisburg
Herkimer Co | Monroe CC
Moraine Val | Elgin CC
Niagara Co | Sullivan Co
Bronx CC | Rockland CC
Madison Col | Wilbur Wright
MN West C&T | Anoka Ramsey
Passaic Co | Atlantic Cape CC
Bergen CC | Ocean Co
Eastfield Col | Brookhaven
Butler Co-PA | CC Allegheny-B
Middlesex Co | Camden Co
Richland | Cedar Valley
Cent Carolina CC | Johnston CC
Central Lakes | Mesabi Range
CC of RI | Hostos CC
Corning CC | Onondaga CC
Finger Lakes CC | Jefferson CC
Hocking | Owens CC
Itasca CC | Northland CTC
Rock Valley | Joliet JC
Suffolk Co-Selden | Kingsborough
Montgomery Co CC | Luzerne Co CC
MN St CTC | Ridgewater
Mtn View | North Lake
Riverland CC | Western Tech
St Cloud Tech | Rochester C&T
Gloucester Co | Sussex Co CC
Tompkins Cortland | Broome CC
Florida A&M | Savannah St
Blue Mtn | Loyola NO
