Laval | Memorial
Pensacola Chr | Welch
Pacific Union | Eastern Oregon
Loyola NO | Southern N.O.
Xavier LA | Virgin Islands
Oregon Tech | Northwest Indian
Laurentian | UPEI
Canadore | Loyalist
Sheridan ON | Sault
MS Vincent NS | Mt Allison
Georgetown KY | Central Penn
Dakota Wesleyan | Bellevue
Col Ozarks | Tabor
Campbellsville | Kentucky Chr
Concordia NE | KS Wesleyan
Benedictine AZ | J&W FL
Briar Cliff | Presentation
Mid Georgia | Edward Waters
Southern N.O. | Texas Col
Talladega | Thomas GA
LSU Shreveport | Le Tourneau
Warner | Florida National
Wayland | Arlington Bap
St Thomas TX | Panhandle St
Brescia | Crowleys Ridge
Hope Intl | Westcliff
Bethel IN | Indiana Tech
Ottawa KS | Baker KS
Graceland | Dordt
Indiana-East | IN Wesleyan
Viterbo | Judson IL
Northwestern OH | Taylor IN
Wayland | St Thomas TX
Warner Pacific | Antelope Val
Bethel KS | Doane
Embry-Riddle AZ | J&W FL
Indiana NW | Roosevelt
Lincoln Chr | Trinity Chr
Johnson TN | Asbury
Mayville St | Oak Hills Chr
Trinity IL | Silver Lake
Haskell | St Mary KS
Panhandle St | Arlington Bap
Southern Oregon | New Hope Chr
Cumberlands KY | IN Southeast
Seneca | Fleming
Centennial Col | Durham
Fanshawe | Mohawk
NH Tech | Hampshire
ME Machias | Unity
Morningside | Benedictine KS
Florida Col | Johnson FL
Huntington | Wright St-Lake
Martin Meth | Oakwood
Lourdes | East-West
Waldorf | Mt Marty
Midway | IN S Bend
William Penn | Lincoln Col
Shawnee St | Ohio Chr
Voorhees | Point
Laurentian | Nipissing
Ryerson | Guelph
Five Towns | Webb Inst
Warner Pacific | MT Tech
Andrew Col | Chattahoochee Val
East Central CC | Bishop St
Odessa | C Arizona
W Nebraska CC | Cent Wyoming
Clinton JC | Pitt CC
Cloud Co | Cent CC-Columbus
Holmes CC | Copiah-Lincoln
Pearl River CC | Delgado CC
Harcum Col | Manor
Harford CC | Northern Virginia CC
Hillsborough CC | Pasco-Hernando
MS Delta | Hinds CC
Itawamba CC | Lawson St
John Logan | Motlow St
Kaskaskia | Lincoln Land
Williston St | Lake Region
Meridian CC | Wallace CC-Selma
ND St Science | Miles CC
New Mexico JC | Trinidad St JC
Oxford of Emory | So Crescent Tech
Essex CC | Northampton CC
Potomac St-WVU | Howard CC MD
Jamestown CC | Tompkins Cortland
Madison Col | McHenry Co
Monroe CC | Finger Lakes CC
Oakton CC | Col of Dupage
Hudson Val | Rockland CC
Montgomery Co CC | Passaic Co
Schenectady Co | Broome CC
Mercyhurst NE | Bry & Strat-Cleveland
Blue Mtn | Freed-Hardeman
Spring Arbor | Rochester MI
Riverside CC | Antelope Val CC
Canada Col | Butte Col
East LA Col | Col of the Canyons
Chabot | Cosumnes River
Santiago Canyon | Chaffey
Contra Costa | Sacramento City
San Bernardino Val | Copper Mtn
Palomar Col | Cuyamaca
Col of the Desert | Grossmont
Gavilan | Foothill Col
Glendale CA | Oxnard
Las Positas | Siskiyous
Lassen | Monterey Peninsula
LA Valley Col | Ventura Col
Long Beach City Col | Santa Ana Col
Merced Col | San Jose City Col
Merritt | Skyline
Pasadena City Col | Moorpark
Miramar CC | Rio Hondo
Santa Monica Col | Southwestern CA
West LA Col | Victor Valley
Cent Methodist | Park
OK Wesleyan | Col Ozarks
Warner | Florida Col
Missouri Val | Hannibal-Lagr
TX Wesleyan | LSU Shreveport
Mt Mercy | Viterbo
Lake Co | Harper
Mid Am Nazarene | Kansas Chr
Xavier LA | Carver Bib
Oregon Tech | New Hope Chr
St Marys NS | Acadia
Calgary | Alberta
Brit Columbia | Victoria
Reinhardt | Alice Lloyd
Carroll MT | Dickinson St ND
Haskell | Central Chr
MO Baptist | Culver-Stockton
Hope Intl | La Sierra
LSU-Alexandria | The Masters
Wilberforce | Point Park
Labette CC | Neosho Co
Coastal GA | Brewton-Parker
Rend Lake | Danville CC IL
Herkimer Co | Cayuga CC
Humber | Niagara ON
Vancouver Island | Camosun
Mobile | Selma AL
Hiwassee | Columbia Intl
Talladega | Pensacola Chr
Imperial Val | MiraCosta
Embry-Riddle FL | Concordia CA
W Texas A&M | Drury
Northwestern IA | Mayville St
Lindenwood | Azusa Pacific
Cornerstone | Taylor IN
MI Dearborn | Goshen
Graceland | Ottawa KS
Indiana-East | Lourdes
LSU-Alexandria | TX Wesleyan
Allen Co | N OK-Tonkawa
ASA | CCBC-Dundalk
Coastal AL-Mon | ASA Miami
Mid-South CC | Baltimore City CC
Barton Co | Lamar CC
Cape Fear CC | Broward CC
Indian Hills CC | Butler Co-KS
Ranger | C Arizona
Chipola | Miami-Dade
Gordon GA | Cleveland St CC
Coastal AL-BM | Gulf Coast CC
Coffeyville CC | Fort Scott CC
W Nebraska CC | Southern Idaho
Columbia St | Shawnee CC
Dawson CC | Dakota-Bottineau
E Florida St | East Georgia Col
FL Southwestern | Spartanburg Meth
Hill Col | Western Texas
Hutchinson CC | Northeast CC
Odessa | Jacksonville Col
Vincennes | Kankakee CC
Cuyahoga CC | Kennedy-King
Tallahassee CC | Lawson St
Lincoln Trail | Glen Oaks CC
Mineral Area | Wabash Val
Moberly Area | Henry Ford CC
Seward Co | N OK-Enid
NW Florida St | USC Salkehatchie
Olive-Harvey | Black Hawk-M
Sheridan WY | Otero JC
Palm Beach St | Fayetteville Tech
Moraine Val | Daley
S Georgia Tech | Roane St
Prairie St | Sauk Valley CC
Snead St | Volunteer St
Southeastern CC | Carl Sandburg
Three Rivers | North Lake
Tyler JC | Brookhaven
Eastern Utah | W Wyoming CC
Mtn View | Weatherford
Ellsworth CC | Bay Col
Davidson Co CC | CCBC Catonsville
Dakota Co Tech | N Iowa CC
Frederick CC | DE Tech CC
Kirkwood CC | IL Central
Monroe CC | Ulster Co
Parkland | N Arkansas
Union Co | Hostos CC
KS Wesleyan | Baker KS
Bethel IN | Waldorf
St Ambrose | Clarke
Dordt | Valley City St
IN Wesleyan | Olivet Naz
Pikeville | Kentucky Chr
City Col San Fran | Alameda
Antelope Val CC | Moorpark
SD City Col | Barstow CC
Las Positas | Butte Col
Canada Col | Contra Costa
Monterey Peninsula | Chabot
Citrus Col | Orange Coast
Victor Valley | Copper Mtn
Foothill Col | Cosumnes River
West LA Col | Col of the Desert
Fullerton Col | El Camino Col
Fresno City Col | Napa Valley CC
Gavilan | Merced Col
San Bernardino Val | Grossmont
LA Southwest | LA Trade-Tech
Lassen | San Jose City Col
Riverside CC | LA Valley Col
Santa Rosa JC | Mt San Antonio
Ventura Col | Pasadena City Col
Sacramento City | Siskiyous
Bellevue | Lincoln Chr
Briar Cliff | Friends
Cumberlands KY | Bryan
Corban | Cal Maritime
Calumet-St Jos | Lawrence Tech
Campbellsville | Voorhees
Columbia MO | Evangel
MT Tech | Dickinson St ND
Faulkner | Point
Wm Woods | Grand View
Loyola NO | Virgin Islands
Mid Am Nazarene | Park
Rochester MI | Ohio Chr
Peru St | St Mary KS
Simpson CA | Wm Jessup
Walters St | Caldwell CC Tech
Grayson Co JC | Lee TX
Snow Col | Northwest WY
Westchester CC | Kingsborough
Cincinnati Chr | Trinity IL
Concordia NE | St Thomas FL
Grace IN | Miami-Hamilton
OK City | Manhattan Chr
Providence GF | Salish Kootenai
Webber | St Andrews
Lorain Co CC | CC Allegheny-A
New Brunswick | St Fran Xavier
Mt Royal | Manitoba
Univ Lethbridge | Grant MacEwan
Regina | Trinity Western
Saskatchewan | Fraser Val
Northern BC | Winnipeg
UBC-Okanagan | Brandon
Bethel KS | Bacone
Carroll MT | Warner Pacific
St Francis IN | Indiana Tech
Langston | Jarvis Chr
The Masters | LSU Shreveport
Marshalltown CC | Independence CC
Chaffey | Santa Ana Col
Rio Hondo | Cuyamaca
Long Beach City Col | Santiago Canyon
Southwestern CA | MiraCosta
Miramar CC | Palomar Col
McPherson | Dallas Chr
Oregon Tech | New Hope Chr
Arizona Chr | York NE
Southern Oregon | Embry-Riddle AZ
Western ON | Queens ON
Lakehead | Nipissing
Carleton ON | Laurier
Toronto | Algoma
Ottawa ON | Waterloo
McMaster | Brock
York ON | Windsor
Southern-Shreve | Ark Baptist
Kilgore | SW Chr TX
Trinidad St JC | NM Military
Lansing CC | Southern MD
Northwest Chr | Menlo
Georgia Highlands | Enterprise St
Brescia | R Morris Chi
United Tribes | Bismarck St
SAU Tech | Coahoma CC
Villa Maria | Fisher
Triton Col | Malcolm X
Mohawk Val | N Country CC
Westmont | Portland Bible
Garden City CC | Redlands CC
Cent Carolina CC | Wake Tech
Labette CC | MCC Maple Woods
Georgian | Canadore
Loyalist | Algonquin
Seneca | Durham
Redeemer | Sheridan ON
Douglas | Langara
Capilano | Columbia Bib
Concordia AB | Lakeland AB
S Alberta Tech | Ambrose
Augustana AB | Grande Prairie
Olds | Briercrest
N Alberta Tech | Kings AB
Southern St CC | Crown TN
C Maine Tech | Williamson Tr
Madonna | East-West
NH Tech | N Essex CC
Brebeuf | St Lambert
Sainte-Foy | John Abbott
Great Lakes Chr | Boyce
St Lawrence ON | La Cite
Toccoa Falls | Trinity FL
Vanier | Montmorency
Grace Chr | Welch
Okanagan Col | Camosun
Bry & Strat-Buffalo | Bry & Strat-Liverpool
ME Ft Kent | Bry & Strat-Greece
Trinity Bap | Southeastern Bap
Midland TX | Phoenix Col
Cecil Col | Bry & Strat-VB
Santa Monica Col | Imperial Val
Arizona Chr | Southern Oregon
Embry-Riddle FL | Azusa Pacific
Concordia CA | Drury
Ferris St | Fairmont St
Tarleton St | MO Western
NW Missouri | Northern St SD
Wm Jessup | Northwest Chr
W Texas A&M | Lindenwood
Cumberland TN | Martin Meth
Dordt | Mayville St
Olivet Naz | Goshen
Indiana NW | Governors St
Peru St | Ottawa KS
Allen Co | Labette CC
ASA | Pitt CC
NW Florida St | ASA Miami
Baltimore City CC | N Arkansas
Barton Co | N OK-Enid
Marshalltown CC | Butler Co-KS
Wallace St | Caldwell CC Tech
Cape Fear CC | Palm Beach St
Midland TX | C Arizona
Southern Idaho | Cent Wyoming
Chipola | Enterprise St
Panola | Clarendon
Cleveland St CC | S Georgia Tech
S Union St | Jefferson Davis
Coastal AL-Mon | USC Salkehatchie
Pensacola St | Coastal AL-BM
Northeastern JC | Colorado NW
Vincennes | Columbia St
Cowley Co | Fort Scott CC
Daytona St | Denmark Tech
E Florida St | Lawson St
Tallahassee CC | East Georgia Col
S Georgia St | Florida St-Jax
Miami-Dade | Georgia Highlands
Gordon GA | Roane St
Truman Col | Col of Dupage
Highland CC IL | Madison Col
